Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,φa min,φa max,Tan α,φa,d/t,Wt,c/t
,254x102x25 UB,,I,UK,Steel,,25.2,257.2,101.9,6,8.4,7.6,225.2,37.5,4.8,5,58,16,0.897,35.7,3410,149,10.3,2.15,266,29.2,306,46,0.866,31.4,0.023,6.42,32,,,,,,,,,,,,,,,,
,254x102x22 UB,,I,UK,Steel,,22,254,101.6,5.7,6.8,7.6,225.2,39.5,5.93,5,58,16,0.89,40.5,2840,119,10.1,2.06,224,23.5,259,37.3,0.856,36.3,0.0182,4.15,28,,,,,,,,,,,,,,,,
,203x133x30 UB,,I,UK,Steel,,30,206.8,133.9,6.4,9.6,7.6,172.4,26.9,5.85,5,74,18,0.923,30.8,2900,385,8.71,3.17,280,57.5,314,88.2,0.882,21.5,0.0374,10.3,38.2,,,,,,,,,,,,,,,,
,203x133x25 UB,,I,UK,Steel,,25.1,203.2,133.2,5.7,7.8,7.6,172.4,30.2,7.2,5,74,16,0.915,36.5,2340,308,8.56,3.1,230,46.2,258,70.9,0.876,25.6,0.0294,5.96,32,,,,,,,,,,,,,,,,
,203x102x23 UB,,I,UK,Steel,,23.1,203.2,101.8,5.4,9.3,7.6,169.4,31.4,4.37,5,60,18,0.79,34.2,2100,164,8.46,2.36,207,32.2,234,49.7,0.888,22.4,0.0154,7.02,29.4,,,,,,,,,,,,,,,,
,178x102x19 UB,,I,UK,Steel,,19,177.8,101.2,4.8,7.9,7.6,146.8,30.6,5.14,4,60,16,0.738,38.7,1360,137,7.48,2.37,153,27,171,41.6,0.886,22.6,0.0099,4.41,24.3,,,,,,,,,,,,,,,,
,152x89x16 UB,,I,UK,Steel,,16,152.4,88.7,4.5,7.7,7.6,121.8,27.1,4.48,4,54,16,0.638,40,834,89.8,6.41,2.1,109,20.2,123,31.2,0.89,19.5,0.0047,3.56,20.3,,,,,,,,,,,,,,,,
,127x76x13 UB,,I,UK,Steel,,13,127,76,4,7.6,7.6,96.6,24.2,3.74,4,46,16,0.537,41.4,473,55.7,5.35,1.84,74.6,14.7,84.2,22.6,0.894,16.3,0.002,2.85,16.5,,,,,,,,,,,,,,,,
,430x100x64 PFC,,C,UK,Steel,-,64.4,430,100,11,19,15,362,32.9,3.89,13,96,36,1.23,19,21900,722,16.3,2.97,1020,97.9,1220,176,0.917,22.5,0.219,63,82.1,3.27,,,,,,,,,,,,,,,
,380x100x54 PFC,,C,UK,Steel,-,54,380,100,9.5,17.5,15,315,33.2,4.31,12,98,34,1.13,20.9,15000,643,14.8,3.06,791,89.2,933,161,0.932,21.2,0.15,45.7,68.7,3.48,,,,,,,,,,,,,,,
