Id,Name,Description,Category,Density,EEI,ECI,ECI_A1A3,ECI_A4A5,ECI_B1B7,ECI_C1C4,ECI_D,isLocked
1071,Insulation - Mineral wool,No description provided,Other,200,0,0,1.28,0,0,0,0,1
1072,Insulation - Paper wool,No description provided,Other,200,0,0,0.63,0,0,0,0,1
1073,Insulation - Rockwool,No description provided,Other,200,0,0,1.12,0,0,0,0,1
1074,Insulation - Woodwool (Board),No description provided,Other,200,0,0,0.98,0,0,0,0,1
1075,Iron - General,No description provided,Steel,7870,0,0,2.03,0,0,0,0,1
1076,Lead - General,No description provided,Other,11340,0,0,1.67,0,0,0,0,1
1077,Lead - Recycled,No description provided,Other,11340,0,0,0.58,0,0,0,0,1
1078,Lead - Virgin,No description provided,Other,11340,0,0,3.37,0,0,0,0,1
1079,Lime - General,No description provided,Other,1000,0,0,0.78,0,0,0,0,1
1080,Paint - General,No description provided,Other,1200,0,0,2.91,0,0,0,0,1
1081,Paint - Solventborne Paint,No description provided,Other,1200,0,0,3.76,0,0,0,0,1
1082,Paint - Waterborne Paint,No description provided,Other,1000,0,0,2.54,0,0,0,0,1
1083,Plaster - General (Gypsum),No description provided,Other,1200,0,0,0.13,0,0,0,0,1
1084,Plaster - Plasterboard,No description provided,Other,1900,0,0,0.39,0,0,0,0,1
1085,Plastics - Calendered Sheet PVC,No description provided,Other,1400,0,0,3.19,0,0,0,0,1
1086,Plastics - Expanded Polystyrene,No description provided,Other,1400,0,0,3.29,0,0,0,0,1
1087,Plastics - General,No description provided,Other,1200,0,0,3.31,0,0,0,0,1
1088,Plastics - General Polyethylene,No description provided,Other,1400,0,0,2.54,0,0,0,0,1
1089,Plastics - General Purpose Polystyrene,No description provided,Other,50,0,0,3.43,0,0,0,0,1
1090,Plastics - Nylon,No description provided,Other,1150,0,0,9.14,0,0,0,0,1
1091,Plastics - PVC General,No description provided,Other,1400,0,0,3.1,0,0,0,0,1
