Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt,c/t
,200x100x5 RHS,,R,UK,Steel,-,22.6,200,100,5,5,,,37,17,,,,0.587,26,1500,505,7.21,4.19,149,101,185,114,,,,1200,28.7,,,,,,,,,,,,,,,172,
,200x100x6.3 RHS,,R,UK,Steel,-,28.1,200,100,6.3,6.3,,,28.7,12.9,,,,0.584,20.8,1830,613,7.15,4.14,183,123,228,140,,,,1480,35.8,,,,,,,,,,,,,,,208,
,200x100x7.1 RHS,,R,UK,Steel,-,31.4,200,100,7.1,7.1,,,25.2,11.1,,,,0.582,18.5,2020,674,7.11,4.1,202,135,254,155,,,,1630,40,,,,,,,,,,,,,,,229,
,200x100x8 RHS,,R,UK,Steel,-,35.1,200,100,8,8,,,22,9.5,,,,0.579,16.5,2230,739,7.06,4.06,223,148,282,172,,,,1800,44.8,,,,,,,,,,,,,,,251,
,200x100x8.8 RHS,,R,UK,Steel,-,38.4,200,100,8.8,8.8,,,19.7,8.36,,,,0.577,15.1,2410,793,7.02,4.03,241,159,306,186,,,,1950,48.9,,,,,,,,,,,,,,,270,
,200x100x10 RHS,,R,UK,Steel,-,43.1,200,100,10,10,,,17,7,,,,0.574,13.3,2660,869,6.96,3.98,266,174,341,206,,,,2160,54.9,,,,,,,,,,,,,,,295,
,200x100x12.5 RHS,,R,UK,Steel,-,52.7,200,100,12.5,12.5,,,13,5,,,,0.568,10.8,3140,1000,6.84,3.87,314,201,408,245,,,,2540,67.1,,,,,,,,,,,,,,,341,
,200x100x14.2 RHS,,R,UK,Steel,-,58.9,200,100,14.2,14.2,,,11.1,4.04,,,,0.563,9.57,3420,1080,6.75,3.8,342,216,450,268,,,,2770,75,,,,,,,,,,,,,,,368,
,200x100x16 RHS,,R,UK,Steel,-,65.2,200,100,16,16,,,9.5,3.25,,,,0.559,8.55,3680,1150,6.66,3.72,368,229,491,290,,,,2980,83,,,,,,,,,,,,,,,391,
,200x120x5 RHS,,R,UK,Steel,-,24.1,200,120,5,5,,,37,21,,,,0.627,26,1690,762,7.4,4.98,168,127,205,144,,,,1650,30.7,,,,,,,,,,,,,,,210,
,200x120x6.3 RHS,,R,UK,Steel,-,30.1,200,120,6.3,6.3,,,28.7,16,,,,0.624,20.8,2070,929,7.34,4.92,207,155,253,177,,,,2030,38.3,,,,,,,,,,,,,,,255,
,200x120x7.1 RHS,,R,UK,Steel,-,33.7,200,120,7.1,7.1,,,25.2,13.9,,,,0.622,18.5,2290,1030,7.3,4.89,229,171,281,197,,,,2250,42.9,,,,,,,,,,,,,,,282,
,200x120x8 RHS,,R,UK,Steel,-,37.6,200,120,8,8,,,22,12,,,,0.619,16.5,2530,1130,7.26,4.85,253,188,313,218,,,,2500,48,,,,,,,,,,,,,,,310,
,200x120x8.8 RHS,,R,UK,Steel,-,41.1,200,120,8.8,8.8,,,19.7,10.6,,,,0.617,15,2730,1220,7.22,4.82,273,203,340,237,,,,2700,52.4,,,,,,,,,,,,,,,334,
,200x120x10 RHS,,R,UK,Steel,-,46.3,200,120,10,10,,,17,9,,,,0.614,13.3,3030,1340,7.17,4.76,303,223,379,263,,,,3000,58.9,,,,,,,,,,,,,,,367,
,200x120x12.5 RHS,,R,UK,Steel,-,56.6,200,120,12.5,12.5,,,13,6.6,,,,0.608,10.8,3580,1560,7.04,4.66,358,260,455,314,,,,3570,72.1,,,,,,,,,,,,,,,428,
,200x120x14.2 RHS,,R,UK,Steel,-,63.3,200,120,14.2,14.2,,,11.1,5.45,,,,0.603,9.53,3910,1690,6.96,4.58,391,282,503,346,,,,3920,80.7,,,,,,,,,,,,,,,464,
,200x120x16 RHS,,R,UK,Steel,-,70.2,200,120,16,16,,,9.5,4.5,,,,0.599,8.51,4220,1810,6.87,4.5,422,302,550,377,,,,4250,89.4,,,,,,,,,,,,,,,497,
,200x150x5 RHS,,R,UK,Steel,-,26.5,200,150,5,5,,,37,27,,,,0.687,26,1970,1270,7.64,6.12,197,169,234,192,,,,2390,33.7,,,,,,,,,,,,,,,267,
,200x150x6.3 RHS,,R,UK,Steel,-,33,200,150,6.3,6.3,,,28.7,20.8,,,,0.684,20.7,2420,1550,7.58,6.07,242,207,289,237,,,,2950,42.1,,,,,,,,,,,,,,,326,
,200x150x7.1 RHS,,R,UK,Steel,-,37,200,150,7.1,7.1,,,25.2,18.1,,,,0.682,18.4,2690,1720,7.55,6.03,268,229,322,264,,,,3280,47.1,,,,,,,,,,,,,,,361,
,200x150x8 RHS,,R,UK,Steel,-,41.4,200,150,8,8,,,22,15.8,,,,0.679,16.4,2970,1890,7.5,5.99,297,253,359,294,,,,3640,52.8,,,,,,,,,,,,,,,398,
,200x150x8.8 RHS,,R,UK,Steel,-,45.3,200,150,8.8,8.8,,,19.7,14,,,,0.677,15,3220,2050,7.47,5.96,322,273,390,319,,,,3960,57.7,,,,,,,,,,,,,,,430,
,200x150x10 RHS,,R,UK,Steel,-,51,200,150,10,10,,,17,12,,,,0.674,13.2,3570,2260,7.41,5.91,357,302,436,356,,,,4410,64.9,,,,,,,,,,,,,,,475,
,200x150x12.5 RHS,,R,UK,Steel,-,62.5,200,150,12.5,12.5,,,13,9,,,,0.668,10.7,4240,2670,7.3,5.8,424,356,525,428,,,,5290,79.6,,,,,,,,,,,,,,,559,
,200x150x14.2 RHS,,R,UK,Steel,-,70,200,150,14.2,14.2,,,11.1,7.56,,,,0.663,9.48,4640,2920,7.22,5.72,464,389,582,473,,,,5830,89.2,,,,,,,,,,,,,,,610,
,200x150x16 RHS,,R,UK,Steel,-,77.7,200,150,16,16,,,9.5,6.38,,,,0.659,8.5,5040,3150,7.13,5.64,504,420,638,518,,,,6370,99,,,,,,,,,,,,,,,658,
,220x120x5 RHS,,R,UK,Steel,-,25.7,220,120,5,5,,,41,21,,,,0.667,25.9,2130,829,8.06,5.03,193,138,236,155,,,,1880,32.7,,,,,,,,,,,,,,,232,
,220x120x6.3 RHS,,R,UK,Steel,-,32,220,120,6.3,6.3,,,31.9,16,,,,0.664,20.7,2610,1010,8,4.98,237,168,292,191,,,,2320,40.8,,,,,,,,,,,,,,,283,
,220x120x7.1 RHS,,R,UK,Steel,-,35.9,220,120,7.1,7.1,,,28,13.9,,,,0.662,18.5,2900,1120,7.96,4.94,263,186,326,213,,,,2570,45.7,,,,,,,,,,,,,,,312,
,220x120x8 RHS,,R,UK,Steel,-,40.2,220,120,8,8,,,24.5,12,,,,0.659,16.4,3200,1230,7.91,4.9,291,205,362,236,,,,2850,51.2,,,,,,,,,,,,,,,343,
,220x120x8.8 RHS,,R,UK,Steel,-,43.9,220,120,8.8,8.8,,,22,10.6,,,,0.657,15,3470,1320,7.87,4.87,315,221,394,256,,,,3090,55.9,,,,,,,,,,,,,,,370,
,220x120x10 RHS,,R,UK,Steel,-,49.4,220,120,10,10,,,19,9,,,,0.654,13.2,3840,1460,7.82,4.81,349,243,440,285,,,,3430,62.9,,,,,,,,,,,,,,,407,
,220x120x12.5 RHS,,R,UK,Steel,-,60.5,220,120,12.5,12.5,,,14.6,6.6,,,,0.648,10.7,4560,1710,7.69,4.71,415,285,530,341,,,,4090,77.1,,,,,,,,,,,,,,,476,
,220x120x14.2 RHS,,R,UK,Steel,-,67.8,220,120,14.2,14.2,,,12.5,5.45,,,,0.643,9.52,5000,1850,7.61,4.63,454,309,586,376,,,,4490,86.3,,,,,,,,,,,,,,,517,
,220x120x16 RHS,,R,UK,Steel,-,75.2,220,120,16,16,,,10.8,4.5,,,,0.639,8.5,5410,1990,7.52,4.55,492,331,643,410,,,,4870,95.8,,,,,,,,,,,,,,,555,
,250x100x5 RHS,,R,UK,Steel,-,26.5,250,100,5,5,,,47,17,,,,0.687,26,2610,618,8.8,4.28,209,124,263,138,,,,1620,33.7,,,,,,,,,,,,,,,217,
,250x100x6.3 RHS,,R,UK,Steel,-,33,250,100,6.3,6.3,,,36.7,12.9,,,,0.684,20.7,3210,751,8.73,4.22,257,150,326,169,,,,1980,42.1,,,,,,,,,,,,,,,264,
,250x100x7.1 RHS,,R,UK,Steel,-,37,250,100,7.1,7.1,,,32.2,11.1,,,,0.682,18.4,3560,827,8.69,4.19,285,165,363,188,,,,2200,47.1,,,,,,,,,,,,,,,291,
,250x100x8 RHS,,R,UK,Steel,-,41.4,250,100,8,8,,,28.3,9.5,,,,0.679,16.4,3940,909,8.64,4.15,315,182,404,209,,,,2430,52.8,,,,,,,,,,,,,,,319,
,250x100x8.8 RHS,,R,UK,Steel,-,45.3,250,100,8.8,8.8,,,25.4,8.36,,,,0.677,15,4270,977,8.6,4.12,341,195,439,226,,,,2630,57.7,,,,,,,,,,,,,,,343,
,250x100x10 RHS,,R,UK,Steel,-,51,250,100,10,10,,,22,7,,,,0.674,13.2,4730,1070,8.54,4.06,379,214,491,251,,,,2910,64.9,,,,,,,,,,,,,,,376,
,250x100x12.5 RHS,,R,UK,Steel,-,62.5,250,100,12.5,12.5,,,17,5,,,,0.668,10.7,5620,1250,8.41,3.96,450,249,592,299,,,,3440,79.6,,,,,,,,,,,,,,,438,
,250x100x14.2 RHS,,R,UK,Steel,-,70,250,100,14.2,14.2,,,14.6,4.04,,,,0.663,9.48,6170,1340,8.31,3.88,493,269,655,329,,,,3750,89.2,,,,,,,,,,,,,,,473,
,250x100x16 RHS,,R,UK,Steel,-,77.7,250,100,16,16,,,12.6,3.25,,,,0.659,8.5,6690,1430,8.22,3.8,535,287,719,358,,,,4050,99,,,,,,,,,,,,,,,505,
,250x150x5 RHS,,R,UK,Steel,-,30.4,250,150,5,5,,,47,27,,,,0.787,25.9,3360,1530,9.31,6.28,269,204,324,228,,,,3280,38.7,,,,,,,,,,,,,,,337,
,250x150x6.3 RHS,,R,UK,Steel,-,38,250,150,6.3,6.3,,,36.7,20.8,,,,0.784,20.6,4140,1870,9.25,6.22,331,250,402,283,,,,4050,48.4,,,,,,,,,,,,,,,413,
,250x150x7.1 RHS,,R,UK,Steel,-,42.6,250,150,7.1,7.1,,,32.2,18.1,,,,0.782,18.4,4610,2080,9.22,6.19,368,277,449,315,,,,4520,54.2,,,,,,,,,,,,,,,457,
,250x150x8 RHS,,R,UK,Steel,-,47.7,250,150,8,8,,,28.3,15.8,,,,0.779,16.4,5110,2300,9.17,6.15,409,306,501,350,,,,5020,60.8,,,,,,,,,,,,,,,506,
,250x150x8.8 RHS,,R,UK,Steel,-,52.2,250,150,8.8,8.8,,,25.4,14,,,,0.777,14.9,5550,2490,9.13,6.12,444,331,545,381,,,,5460,66.5,,,,,,,,,,,,,,,547,
,250x150x10 RHS,,R,UK,Steel,-,58.8,250,150,10,10,,,22,12,,,,0.774,13.2,6170,2760,9.08,6.06,494,367,611,426,,,,6090,74.9,,,,,,,,,,,,,,,605,
,250x150x12.5 RHS,,R,UK,Steel,-,72.3,250,150,12.5,12.5,,,17,9,,,,0.768,10.6,7390,3270,8.96,5.96,591,435,740,514,,,,7330,92.1,,,,,,,,,,,,,,,717,
,250x150x14.2 RHS,,R,UK,Steel,-,81.1,250,150,14.2,14.2,,,14.6,7.56,,,,0.763,9.38,8140,3580,8.87,5.88,651,477,823,570,,,,8100,103,,,,,,,,,,,,,,,784,
,250x150x16 RHS,,R,UK,Steel,-,90.3,250,150,16,16,,,12.6,6.38,,,,0.759,8.42,8880,3870,8.79,5.8,710,516,906,625,,,,8870,115,,,,,,,,,,,,,,,849,
,250x200x10 RHS,,R,UK,Steel,-,66.7,250,200,10,10,,,22,17,,,,0.874,15,7610,5370,9.47,7.95,609,537,731,626,,,,9890,84.9,,,,,,,,,,,,,,,835,
,250x200x12.5 RHS,,R,UK,Steel,-,82.1,250,200,12.5,12.5,,,17,13,,,,0.868,10.6,9150,6440,9.35,7.85,732,644,888,760,,,,12000,105,,,,,,,,,,,,,,,997,
,260x140x5 RHS,,R,UK,Steel,-,30.4,260,140,5,5,,,49,25,,,,0.787,25.9,3530,1350,9.55,5.91,272,193,331,216,,,,3080,38.7,,,,,,,,,,,,,,,326,
,260x140x6.3 RHS,,R,UK,Steel,-,38,260,140,6.3,6.3,,,38.3,19.2,,,,0.784,20.6,4360,1660,9.49,5.86,335,237,411,267,,,,3800,48.4,,,,,,,,,,,,,,,399,
,260x140x7.1 RHS,,R,UK,Steel,-,42.6,260,140,7.1,7.1,,,33.6,16.7,,,,0.782,18.4,4840,1840,9.45,5.82,372,263,459,298,,,,4230,54.2,,,,,,,,,,,,,,,442,
,260x140x8 RHS,,R,UK,Steel,-,47.7,260,140,8,8,,,29.5,14.5,,,,0.779,16.4,5370,2030,9.4,5.78,413,290,511,331,,,,4700,60.8,,,,,,,,,,,,,,,488,
,260x140x8.8 RHS,,R,UK,Steel,-,52.2,260,140,8.8,8.8,,,26.5,12.9,,,,0.777,14.9,5830,2200,9.37,5.75,449,314,557,360,,,,5110,66.5,,,,,,,,,,,,,,,527,
,260x140x10 RHS,,R,UK,Steel,-,58.8,260,140,10,10,,,23,11,,,,0.774,13.2,6490,2430,9.31,5.7,499,347,624,402,,,,5700,74.9,,,,,,,,,,,,,,,584,
,260x140x12.5 RHS,,R,UK,Steel,-,72.3,260,140,12.5,12.5,,,17.8,8.2,,,,0.768,10.6,7770,2880,9.18,5.59,597,411,756,485,,,,6840,92.1,,,,,,,,,,,,,,,690,
,260x140x14.2 RHS,,R,UK,Steel,-,81.1,260,140,14.2,14.2,,,15.3,6.86,,,,0.763,9.38,8560,3140,9.1,5.52,658,449,840,537,,,,7560,103,,,,,,,,,,,,,,,754,
,260x140x16 RHS,,R,UK,Steel,-,90.3,260,140,16,16,,,13.3,5.75,,,,0.759,8.42,9340,3400,9.01,5.44,718,486,925,588,,,,8260,115,,,,,,,,,,,,,,,815,
,260x180x8 RHS,,R,UK,Steel,-,52.7,260,180,8,8,,,29.5,19.5,,,,0.859,19,6390,3610,9.75,7.33,492,401,592,459,,,,7220,67.2,,,,,,,,,,,,,,,644,
,260x180x10 RHS,,R,UK,Steel,-,65.1,260,180,10,10,,,23,15,,,,0.854,15.4,7740,4350,9.66,7.24,595,483,724,560,,,,8800,82.9,,,,,,,,,,,,,,,775,
,260x180x12 RHS,,R,UK,Steel,-,80.1,260,180,12,12,,,18.7,12,,,,0.848,10.6,9300,5200,9.54,7.13,715,577,879,679,,,,10600,102,,,,,,,,,,,,,,,924,
,300x100x5 RHS,,R,UK,Steel,-,30.4,300,100,5,5,,,57,17,,,,0.787,25.9,4150,731,10.3,4.34,276,146,354,161,,,,2040,38.7,,,,,,,,,,,,,,,262,
,300x100x6.3 RHS,,R,UK,Steel,-,38,300,100,6.3,6.3,,,44.6,12.9,,,,0.784,20.6,5110,890,10.3,4.29,341,178,439,199,,,,2500,48.4,,,,,,,,,,,,,,,319,
,300x100x7.1 RHS,,R,UK,Steel,-,42.6,300,100,7.1,7.1,,,39.3,11.1,,,,0.782,18.4,5680,981,10.2,4.25,379,196,490,221,,,,2780,54.2,,,,,,,,,,,,,,,352,
,300x100x8 RHS,,R,UK,Steel,-,47.7,300,100,8,8,,,34.5,9.5,,,,0.779,16.4,6310,1080,10.2,4.21,420,216,546,245,,,,3070,60.8,,,,,,,,,,,,,,,387,
,300x100x8.8 RHS,,R,UK,Steel,-,52.2,300,100,8.8,8.8,,,31.1,8.36,,,,0.777,14.9,6840,1160,10.1,4.18,456,232,594,266,,,,3320,66.5,,,,,,,,,,,,,,,416,
,300x100x10 RHS,,R,UK,Steel,-,58.8,300,100,10,10,,,27,7,,,,0.774,13.2,7610,1280,10.1,4.13,508,255,666,296,,,,3680,74.9,,,,,,,,,,,,,,,458,
,300x100x12.5 RHS,,R,UK,Steel,-,72.3,300,100,12.5,12.5,,,21,5,,,,0.768,10.6,9100,1490,9.94,4.02,607,297,806,354,,,,4350,92.1,,,,,,,,,,,,,,,534,
,300x100x14.2 RHS,,R,UK,Steel,-,81.1,300,100,14.2,14.2,,,18.1,4.04,,,,0.763,9.38,10000,1610,9.85,3.94,669,321,896,390,,,,4760,103,,,,,,,,,,,,,,,578,
,300x100x16 RHS,,R,UK,Steel,-,90.3,300,100,16,16,,,15.8,3.25,,,,0.759,8.42,10900,1720,9.75,3.87,729,344,986,425,,,,5140,115,,,,,,,,,,,,,,,619,
,300x150x8 RHS,,R,UK,Steel,-,54,300,150,8,8,,,34.5,15.8,,,,0.879,16.3,8010,2700,10.8,6.27,534,360,663,407,,,,6450,68.8,,,,,,,,,,,,,,,613,
,300x150x8.8 RHS,,R,UK,Steel,-,59.1,300,150,8.8,8.8,,,31.1,14,,,,0.877,14.8,8710,2930,10.8,6.23,580,390,723,443,,,,7020,75.3,,,,,,,,,,,,,,,664,
,300x150x10 RHS,,R,UK,Steel,-,66.7,300,150,10,10,,,27,12,,,,0.874,13.1,9720,3250,10.7,6.18,648,433,811,496,,,,7840,84.9,,,,,,,,,,,,,,,736,
,300x150x12.5 RHS,,R,UK,Steel,-,82.1,300,150,12.5,12.5,,,21,9,,,,0.868,10.6,11700,3860,10.6,6.07,779,514,986,600,,,,9450,105,,,,,,,,,,,,,,,874,
,300x150x14.2 RHS,,R,UK,Steel,-,92.3,300,150,14.2,14.2,,,18.1,7.56,,,,0.863,9.32,12900,4230,10.5,6,862,564,1100,666,,,,10500,118,,,,,,,,,,,,,,,959,
,300x150x16 RHS,,R,UK,Steel,-,103,300,150,16,16,,,15.8,6.38,,,,0.859,8.35,14200,4600,10.4,5.92,944,613,1210,732,,,,11500,131,,,,,,,,,,,,,,,1040,
,300x200x5 RHS,,R,UK,Steel,-,38.3,300,200,5,5,,,57,37,,,,0.987,25.8,6320,3400,11.4,8.35,421,340,501,380,,,,6820,48.7,,,,,,,,,,,,,,,552,
,300x200x6.3 RHS,,R,UK,Steel,-,47.9,300,200,6.3,6.3,,,44.6,28.7,,,,0.984,20.6,7830,4190,11.3,8.29,522,419,624,472,,,,8480,61,,,,,,,,,,,,,,,681,
,300x200x7.1 RHS,,R,UK,Steel,-,53.7,300,200,7.1,7.1,,,39.3,25.2,,,,0.982,18.3,8730,4670,11.3,8.26,582,467,698,528,,,,9470,68.4,,,,,,,,,,,,,,,757,
,300x200x8 RHS,,R,UK,Steel,-,60.3,300,200,8,8,,,34.5,22,,,,0.979,16.3,9720,5180,11.3,8.22,648,518,779,589,,,,10600,76.8,,,,,,,,,,,,,,,840,
,300x200x8.8 RHS,,R,UK,Steel,-,66,300,200,8.8,8.8,,,31.1,19.7,,,,0.977,14.9,10600,5630,11.2,8.18,705,563,851,643,,,,11500,84.1,,,,,,,,,,,,,,,912,
,300x200x10 RHS,,R,UK,Steel,-,74.5,300,200,10,10,,,27,17,,,,0.974,13.1,11800,6280,11.2,8.13,788,628,956,721,,,,12900,94.9,,,,,,,,,,,,,,,1020,
,300x200x12.5 RHS,,R,UK,Steel,-,91.9,300,200,12.5,12.5,,,21,13,,,,0.968,10.6,14300,7540,11,8.02,952,754,1170,877,,,,15700,117,,,,,,,,,,,,,,,1220,
,300x200x14.2 RHS,,R,UK,Steel,-,103,300,200,14.2,14.2,,,18.1,11.1,,,,0.963,9.31,15800,8330,11,7.95,1060,833,1300,978,,,,17500,132,,,,,,,,,,,,,,,1340,
,300x200x16 RHS,,R,UK,Steel,-,115,300,200,16,16,,,15.8,9.5,,,,0.959,8.31,17400,9110,10.9,7.87,1160,911,1440,1080,,,,19300,147,,,,,,,,,,,,,,,1470,
,300x250x5 RHS,,R,UK,Steel,-,42.2,300,250,5,5,,,57,47,,,,1.09,25.8,7410,5610,11.7,10.2,494,449,575,508,,,,9770,53.7,,,,,,,,,,,,,,,697,
,300x250x6.3 RHS,,R,UK,Steel,-,52.8,300,250,6.3,6.3,,,44.6,36.7,,,,1.08,20.4,9190,6950,11.7,10.2,613,556,716,633,,,,12200,67.3,,,,,,,,,,,,,,,862,
,300x250x7.1 RHS,,R,UK,Steel,-,59.3,300,250,7.1,7.1,,,39.3,32.2,,,,1.08,18.3,10300,7750,11.6,10.1,683,620,802,708,,,,13600,75.5,,,,,,,,,,,,,,,960,
,300x250x8 RHS,,R,UK,Steel,-,66.5,300,250,8,8,,,34.5,28.3,,,,1.08,16.2,11400,8630,11.6,10.1,761,690,896,791,,,,15200,84.8,,,,,,,,,,,,,,,1070,
,300x250x8.8 RHS,,R,UK,Steel,-,72.9,300,250,8.8,8.8,,,31.1,25.4,,,,1.08,14.8,12400,9390,11.6,10.1,829,751,979,864,,,,16600,92.9,,,,,,,,,,,,,,,1160,
,300x250x10 RHS,,R,UK,Steel,-,82.4,300,250,10,10,,,27,22,,,,1.07,12.9,13900,10500,11.5,10,928,840,1100,971,,,,18600,105,,,,,,,,,,,,,,,1300,
,300x250x12.5 RHS,,R,UK,Steel,-,102,300,250,12.5,12.5,,,21,17,,,,1.07,10.5,16900,12700,11.4,9.89,1120,1010,1350,1190,,,,22700,130,,,,,,,,,,,,,,,1560,
,300x250x14.2 RHS,,R,UK,Steel,-,115,300,250,14.2,14.2,,,18.1,14.6,,,,1.06,9.25,18700,14100,11.3,9.82,1250,1130,1510,1330,,,,25400,146,,,,,,,,,,,,,,,1730,
,300x250x16 RHS,,R,UK,Steel,-,128,300,250,16,16,,,15.8,12.6,,,,1.06,8.28,20600,15500,11.2,9.74,1380,1240,1670,1470,,,,28100,163,,,,,,,,,,,,,,,1900,
,340x100x10 RHS,,R,UK,Steel,-,65.1,340,100,10,10,,,31,7,,,,0.854,13.2,10600,1440,11.3,4.16,623,288,823,332,,,,4300,82.9,,,,,,,,,,,,,,,523,
,350x150x5 RHS,,R,UK,Steel,-,38.3,350,150,5,5,,,67,27,,,,0.987,25.8,7660,2050,12.5,6.49,437,274,543,301,,,,5160,48.7,,,,,,,,,,,,,,,477,
,350x150x6.3 RHS,,R,UK,Steel,-,47.9,350,150,6.3,6.3,,,52.6,20.8,,,,0.984,20.6,9480,2530,12.5,6.43,542,337,676,373,,,,6390,61,,,,,,,,,,,,,,,586,
,350x150x7.1 RHS,,R,UK,Steel,-,53.7,350,150,7.1,7.1,,,46.3,18.1,,,,0.982,18.3,10600,2800,12.4,6.4,604,374,756,416,,,,7120,68.4,,,,,,,,,,,,,,,651,
,350x150x8 RHS,,R,UK,Steel,-,60.3,350,150,8,8,,,40.8,15.8,,,,0.979,16.3,11800,3110,12.4,6.36,673,414,844,464,,,,7930,76.8,,,,,,,,,,,,,,,721,
,350x150x8.8 RHS,,R,UK,Steel,-,66,350,150,8.8,8.8,,,36.8,14,,,,0.977,14.9,12800,3360,12.3,6.33,732,449,922,506,,,,8620,84.1,,,,,,,,,,,,,,,781,
,350x150x10 RHS,,R,UK,Steel,-,74.5,350,150,10,10,,,32,12,,,,0.974,13.1,14300,3740,12.3,6.27,818,498,1040,566,,,,9630,94.9,,,,,,,,,,,,,,,867,
,350x150x12.5 RHS,,R,UK,Steel,-,91.9,350,150,12.5,12.5,,,25,9,,,,0.968,10.6,17300,4450,12.2,6.17,988,593,1260,686,,,,11600,117,,,,,,,,,,,,,,,1030,
,350x150x14.2 RHS,,R,UK,Steel,-,103,350,150,14.2,14.2,,,21.6,7.56,,,,0.963,9.31,19200,4890,12.1,6.09,1100,652,1410,763,,,,12900,132,,,,,,,,,,,,,,,1130,
,350x150x16 RHS,,R,UK,Steel,-,115,350,150,16,16,,,18.9,6.38,,,,0.959,8.31,21100,5320,12,6.01,1210,709,1560,840,,,,14100,147,,,,,,,,,,,,,,,1230,
,350x250x6.3 RHS,,R,UK,Steel,-,57.8,350,250,6.3,6.3,,,52.6,36.7,,,,1.18,20.4,13200,7890,13.4,10.4,754,631,892,709,,,,15200,73.6,,,,,,,,,,,,,,,1010,
,350x250x7.1 RHS,,R,UK,Steel,-,64.9,350,250,7.1,7.1,,,46.3,32.2,,,,1.18,18.2,14700,8800,13.4,10.3,843,704,999,794,,,,17000,82.6,,,,,,,,,,,,,,,1130,
,350x250x8 RHS,,R,UK,Steel,-,72.8,350,250,8,8,,,40.8,28.3,,,,1.18,16.2,16400,9800,13.3,10.3,940,784,1120,888,,,,19000,92.8,,,,,,,,,,,,,,,1250,
,350x250x8.8 RHS,,R,UK,Steel,-,79.8,350,250,8.8,8.8,,,36.8,25.4,,,,1.18,14.8,17900,10700,13.3,10.2,1030,853,1220,970,,,,20800,102,,,,,,,,,,,,,,,1370,
,350x250x10 RHS,,R,UK,Steel,-,90.2,350,250,10,10,,,32,22,,,,1.17,13,20100,11900,13.2,10.2,1150,955,1380,1090,,,,23400,115,,,,,,,,,,,,,,,1530,
,350x250x12.5 RHS,,R,UK,Steel,-,112,350,250,12.5,12.5,,,25,17,,,,1.17,10.5,24400,14400,13.1,10.1,1400,1160,1690,1330,,,,28500,142,,,,,,,,,,,,,,,1840,
,350x250x14.2 RHS,,R,UK,Steel,-,126,350,250,14.2,14.2,,,21.6,14.6,,,,1.16,9.22,27200,16000,13,10,1550,1280,1890,1490,,,,31900,160,,,,,,,,,,,,,,,2040,
,350x250x16 RHS,,R,UK,Steel,-,141,350,250,16,16,,,18.9,12.6,,,,1.16,8.26,30000,17700,12.9,9.93,1720,1410,2100,1660,,,,35300,179,,,,,,,,,,,,,,,2250,
,400x120x6.3 RHS,,R,UK,Steel,-,49.9,400,120,6.3,6.3,,,60.5,16,,,,1.02,20.1,11800,1740,13.6,5.24,590,291,762,320,,,,5040,63.5,,,,,,,,,,,,,,,527,
,400x120x8 RHS,,R,UK,Steel,-,62.8,400,120,8,8,,,47,12,,,,1.02,15.9,14600,2130,13.5,5.17,732,356,952,397,,,,6220,80,,,,,,,,,,,,,,,645,
,400x120x10 RHS,,R,UK,Steel,-,77.7,400,120,10,10,,,37,9,,,,1.01,12.9,17800,2550,13.4,5.08,891,425,1170,483,,,,7510,98.9,,,,,,,,,,,,,,,771,
,400x120x12.5 RHS,,R,UK,Steel,-,95.8,400,120,12.5,12.5,,,29,6.6,,,,1.01,10.5,21600,3010,13.3,4.97,1080,502,1430,583,,,,8980,122,,,,,,,,,,,,,,,911,
,400x150x5 RHS,,R,UK,Steel,-,42.2,400,150,5,5,,,77,27,,,,1.09,25.8,10700,2320,14.1,6.57,534,309,671,337,,,,6130,53.7,,,,,,,,,,,,,,,547,
,400x150x6.3 RHS,,R,UK,Steel,-,52.8,400,150,6.3,6.3,,,60.5,20.8,,,,1.08,20.4,13300,2850,14,6.51,663,380,836,418,,,,7600,67.3,,,,,,,,,,,,,,,673,
,400x150x7.1 RHS,,R,UK,Steel,-,59.3,400,150,7.1,7.1,,,53.3,18.1,,,,1.08,18.3,14800,3170,14,6.47,740,422,936,467,,,,8470,75.5,,,,,,,,,,,,,,,748,
,400x150x8 RHS,,R,UK,Steel,-,66.5,400,150,8,8,,,47,15.8,,,,1.08,16.2,16500,3510,13.9,6.43,824,468,1050,521,,,,9420,84.8,,,,,,,,,,,,,,,828,
,400x150x8.8 RHS,,R,UK,Steel,-,72.9,400,150,8.8,8.8,,,42.5,14,,,,1.08,14.8,18000,3800,13.9,6.4,898,507,1140,568,,,,10300,92.9,,,,,,,,,,,,,,,898,
,400x150x10 RHS,,R,UK,Steel,-,82.4,400,150,10,10,,,37,12,,,,1.07,12.9,20100,4230,13.8,6.35,1010,564,1290,636,,,,11500,105,,,,,,,,,,,,,,,998,
,400x150x12.5 RHS,,R,UK,Steel,-,102,400,150,12.5,12.5,,,29,9,,,,1.07,10.5,24400,5040,13.7,6.24,1220,672,1570,772,,,,13800,130,,,,,,,,,,,,,,,1190,
